id;name;salary;status
50111;Saitama;12000000.00;1
50112;Genos;9500000.00;1
50113;Bang;8700000.00;1
50114;Tatsumaki;15000000.00;1
50115;Fubuki;7200000.00;1
50116;King;8000000.00;1
50117;Mumen Rider;3000000.00;0
50118;Atomic Samurai;9100000.00;1
50119;Metal Bat;6500000.00;1
50120;Child Emperor;7000000.00;1
50121;Drive Knight;8800000.00;1
50122;Pig God;6000000.00;0
50123;Superalloy Darkshine;9400000.00;1
50124;Watchdog Man;7700000.00;1
50125;Garou;5000000.00;0
50126;Mosquito Girl;2500000.00;0
50127;Deep Sea King;4000000.00;0
50128;Carnage Kabuto;5500000.00;0
50129;Lord Boros;20000000.00;0
50130;Geryuganshoop;4500000.00;0
30001;Frieren;15000000.00;1
30002;Fern;9000000.00;1
30003;Stark;8500000.00;1
30004;Heiter;7000000.00;1
30005;Eisen;9500000.00;1
30006;Himmel;12000000.00;1
30007;Kraft;6000000.00;0
30008;Serie;20000000.00;1
30009;Flamme;18000000.00;1
30010;Aura;5000000.00;0
30011;Lügner;4500000.00;0
30012;Linie;4300000.00;0
30013;Qual;4700000.00;0
30014;Übel;6500000.00;1
30015;Lawine;6200000.00;1
30016;Kanne;6100000.00;1
30017;Land;6000000.00;1
30018;Wirbel;8000000.00;1
30019;Denken;7500000.00;1
30020;Volker;7000000.00;1
6767;raden rangga pratama;12000000.00;0
